timestamp,dis1,dis2,dis3,vel1,vel2,vel3,b1,b2,b3
33.76,-206.685,7851,5214.45,-6.09737,1.09923,-0.0836877,4.42683e-321,4.42683e-321,4.42683e-321
33.77,-210.343,7851.66,5214.4,-6.09731,1.09699,-0.0851782,4.42683e-321,4.42683e-321,4.42683e-321
33.78,-214.002,7852.32,5214.35,-6.09725,1.09475,-0.0866684,4.42683e-321,4.42683e-321,4.42683e-321
33.79,-217.661,7852.97,5214.29,-6.09719,1.09251,-0.0881584,4.42683e-321,4.42683e-321,4.42683e-321
33.8,-221.319,7853.63,5214.24,-6.09713,1.09027,-0.089648,4.42683e-321,4.42683e-321,4.42683e-321
33.81,-224.978,7854.28,5214.19,-6.09706,1.08803,-0.0911373,4.42683e-321,4.42683e-321,4.42683e-321
33.82,-228.636,7854.93,5214.13,-6.097,1.08579,-0.0926263,4.42683e-321,4.42683e-321,4.42683e-321
33.83,-232.295,7855.58,5214.07,-6.09693,1.08355,-0.094115,4.42683e-321,4.42683e-321,4.42683e-321
33.84,-235.953,7856.23,5214.02,-6.09687,1.08131,-0.0956034,4.42683e-321,4.42683e-321,4.42683e-321
33.85,-239.612,7856.88,5213.96,-6.0968,1.07907,-0.0970916,4.42683e-321,4.42683e-321,4.42683e-321
33.86,-243.27,7857.53,5213.9,-6.09673,1.07684,-0.0985794,4.42683e-321,4.42683e-321,4.42683e-321
33.87,-246.928,7858.17,5213.84,-6.09666,1.0746,-0.100067,4.42683e-321,4.42683e-321,4.42683e-321
33.88,-250.586,7858.82,5213.78,-6.09659,1.07236,-0.101554,4.42683e-321,4.42683e-321,4.42683e-321
33.89,-254.245,7859.46,5213.72,-6.09652,1.07012,-0.103041,4.42683e-321,4.42683e-321,4.42683e-321
33.9,-257.903,7860.1,5213.66,-6.09645,1.06789,-0.104528,4.42683e-321,4.42683e-321,4.42683e-321
33.91,-261.561,7860.74,5213.59,-6.09637,1.06565,-0.106014,4.42683e-321,4.42683e-321,4.42683e-321
33.92,-265.219,7861.38,5213.53,-6.0963,1.06341,-0.1075,4.42683e-321,4.42683e-321,4.42683e-321
33.93,-268.877,7862.02,5213.46,-6.09622,1.06118,-0.108986,4.42683e-321,4.42683e-321,4.42683e-321
33.94,-272.535,7862.65,5213.4,-6.09614,1.05894,-0.110471,4.42683e-321,4.42683e-321,4.42683e-321
33.95,-276.193,7863.29,5213.33,-6.09607,1.05671,-0.111956,4.42683e-321,4.42683e-321,4.42683e-321
33.96,-279.851,7863.92,5213.26,-6.09599,1.05447,-0.113441,4.42683e-321,4.42683e-321,4.42683e-321
33.97,-283.509,7864.55,5213.19,-6.09591,1.05224,-0.114926,4.42683e-321,4.42683e-321,4.42683e-321
33.98,-287.167,7865.18,5213.12,-6.09583,1.05,-0.11641,4.42683e-321,4.42683e-321,4.42683e-321
33.99,-290.825,7865.81,5213.05,-6.09574,1.04777,-0.117894,4.42683e-321,4.42683e-321,4.42683e-321
34,-294.482,7866.44,5212.98,-6.09566,1.04553,-0.119377,4.42683e-321,4.42683e-321,4.42683e-321
34.01,-298.14,7867.07,5212.91,-6.09558,1.0433,-0.120861,4.42683e-321,4.42683e-321,4.42683e-321
34.02,-301.798,7867.69,5212.84,-6.09549,1.04106,-0.122344,4.42683e-321,4.42683e-321,4.42683e-321
34.03,-305.455,7868.32,5212.76,-6.09541,1.03883,-0.123826,4.42683e-321,4.42683e-321,4.42683e-321
34.04,-309.113,7868.94,5212.69,-6.09532,1.0366,-0.125309,4.42683e-321,4.42683e-321,4.42683e-321
34.05,-312.77,7869.56,5212.61,-6.09523,1.03436,-0.126791,4.42683e-321,4.42683e-321,4.42683e-321
34.06,-316.428,7870.18,5212.54,-6.09514,1.03213,-0.128273,4.42683e-321,4.42683e-321,4.42683e-321
34.07,-320.085,7870.8,5212.46,-6.09505,1.0299,-0.129754,4.42683e-321,4.42683e-321,4.42683e-321
34.08,-323.742,7871.42,5212.38,-6.09496,1.02767,-0.131235,4.42683e-321,4.42683e-321,4.42683e-321
34.09,-327.4,7872.03,5212.3,-6.09487,1.02543,-0.132716,4.42683e-321,4.42683e-321,4.42683e-321
34.1,-331.057,7872.65,5212.22,-6.09478,1.0232,-0.134197,4.42683e-321,4.42683e-321,4.42683e-321
34.11,-334.714,7873.26,5212.14,-6.09468,1.02097,-0.135677,4.42683e-321,4.42683e-321,4.42683e-321
34.12,-338.371,7873.87,5212.06,-6.09459,1.01874,-0.137157,4.42683e-321,4.42683e-321,4.42683e-321
34.13,-342.028,7874.48,5211.98,-6.09449,1.01651,-0.138637,4.42683e-321,4.42683e-321,4.42683e-321
34.14,-345.685,7875.09,5211.89,-6.09439,1.01428,-0.140116,4.42683e-321,4.42683e-321,4.42683e-321
34.15,-349.342,7875.7,5211.81,-6.0943,1.01204,-0.141595,4.42683e-321,4.42683e-321,4.42683e-321
34.16,-352.999,7876.31,5211.72,-6.0942,1.00981,-0.143074,4.42683e-321,4.42683e-321,4.42683e-321
34.17,-356.656,7876.91,5211.64,-6.0941,1.00758,-0.144552,4.42683e-321,4.42683e-321,4.42683e-321
34.18,-360.312,7877.52,5211.55,-6.09399,1.00535,-0.146031,4.42683e-321,4.42683e-321,4.42683e-321
34.19,-363.969,7878.12,5211.46,-6.09389,1.00312,-0.147508,4.42683e-321,4.42683e-321,4.42683e-321
34.2,-367.626,7878.72,5211.37,-6.09379,1.00089,-0.148986,4.42683e-321,4.42683e-321,4.42683e-321
34.21,-371.282,7879.32,5211.28,-6.09368,0.998665,-0.150463,4.42683e-321,4.42683e-321,4.42683e-321
34.22,-374.939,7879.92,5211.19,-6.09358,0.996436,-0.15194,4.42683e-321,4.42683e-321,4.42683e-321
34.23,-378.595,7880.52,5211.1,-6.09347,0.994208,-0.153417,4.42683e-321,4.42683e-321,4.42683e-321
34.24,-382.251,7881.11,5211.01,-6.09337,0.991979,-0.154893,4.42683e-321,4.42683e-321,4.42683e-321
34.25,-385.908,7881.71,5210.91,-6.09326,0.989751,-0.156369,4.42683e-321,4.42683e-321,4.42683e-321
34.26,-389.564,7882.3,5210.82,-6.09315,0.987523,-0.157845,4.42683e-321,4.42683e-321,4.42683e-321
34.27,-393.22,7882.89,5210.72,-6.09304,0.985295,-0.15932,4.42683e-321,4.42683e-321,4.42683e-321
34.28,-396.876,7883.48,5210.63,-6.09293,0.983067,-0.160796,4.42683e-321,4.42683e-321,4.42683e-321
34.29,-400.532,7884.07,5210.53,-6.09281,0.98084,-0.16227,4.42683e-321,4.42683e-321,4.42683e-321
34.3,-404.188,7884.66,5210.43,-6.0927,0.978613,-0.163745,4.42683e-321,4.42683e-321,4.42683e-321
34.31,-407.844,7885.25,5210.33,-6.09259,0.976386,-0.165219,4.42683e-321,4.42683e-321,4.42683e-321
34.32,-411.5,7885.83,5210.23,-6.09247,0.97416,-0.166693,4.42683e-321,4.42683e-321,4.42683e-321
