timestamp,dis1,dis2,dis3,vel1,vel2,vel3
1850,3877.07,-5270.41,-2770.44,6.43505,3.53908,3.479
1860,6712.74,-2247.9,-275.591,2.68863,6.19602,4.55682
1870,6976.55,1661.69,2342.12,-1.69839,6.42373,3.91947
1880,4963.97,5082.51,4229.8,-4.70843,4.77627,2.29428
1890,1676.42,7264.12,5072.91,-5.99057,2.46095,0.539835
1900,-1964.2,8045.93,4931.17,-5.96595,0.182371,-0.955173
1910,-5307.56,7545.96,3999.32,-5.05727,-1.78662,-2.08686
1920,-7911.57,5983.68,2501.73,-3.53586,-3.34798,-2.83929
1930,-9460.38,3622.33,669.053,-1.56079,-4.43866,-3.1995
1940,-9715.75,769.979,-1252.39,0.757502,-4.96384,-3.12496
1950,-8509.38,-2188.16,-2978.19,3.2807,-4.7552,-2.53
1960,-5794.45,-4737.49,-4160.97,5.71307,-3.55082,-1.29612
1970,-1803.6,-6194.33,-4393.24,7.37486,-1.08479,0.627732
1980,2660.92,-5816.42,-3333.11,7.07014,2.44807,2.89517
1990,6108.14,-3322.16,-1067.39,3.99474,5.62607,4.42373
2000,7167.5,480.936,1622.9,-0.476271,6.61429,4.25686
2010,5739.28,4165.16,3780.87,-4.0042,5.39459,2.80999
2020,2722.32,6758.51,4931.46,-5.76969,3.17625,1.02874
2030,-893.662,7957.06,5055.64,-6.08204,0.841736,-0.562714
2040,-4378.74,7821.37,4326.81,-5.39927,-1.23655,-1.80306
2050,-7238.45,6550.98,2967,-4.03796,-2.92777,-2.66405
2060,-9126.64,4398.23,1206,-2.18481,-4.16757,-3.13745
2070,-9785.61,1655.86,-715.903,0.0417657,-4.8759,-3.19232
2080,-9025.17,-1318.69,-2528.3,2.52166,-4.91046,-2.75726
2090,-6752.78,-4055.65,-3905.09,5.02548,-4.03679,-1.72069
2100,-3092.97,-5922.18,-4453.41,7.01764,-1.96563,0.00807686
2110,1355.95,-6162.26,-3787.69,7.43787,1.33005,2.24999
2120,5280.81,-4273.89,-1822.09,5.16682,4.83896,4.13247
2130,7130.23,-716.719,853.507,0.845439,6.59593,4.48303
2140,6374.32,3142.71,3243.45,-3.13515,5.92779,3.30388
2150,3717.8,6123.82,4703.48,-5.42016,3.88633,1.53832
2160,190.192,7746.97,5110.01,-6.11233,1.527,-0.139155
2170,-3394.21,7994.69,4603.13,-5.68328,-0.65044,-1.48793
2180,-6479.96,7039.3,3399.69,-4.49769,-2.46672,-2.458
2190,-8685.08,5121.4,1729.31,-2.7757,-3.8491,-3.04253
2200,-9730.29,2520.77,-171.701,-0.649811,-4.7282,-3.22061
2210,-9405.89,-428.43,-2044.23,1.76874,-4.98472,-2.93476
2220,-7583.93,-3296.05,-3581.61,4.29891,-4.41358,-2.0845
2230,-4304.71,-5501.64,-4410.41,6.52447,-2.72831,-0.560397
2240,9.29657,-6308.24,-4126.89,7.55137,0.241072,1.58023
2250,4261.21,-5067.57,-2513.1,6.13762,3.88001,3.69938
2260,6851.7,-1890.96,55.7947,2.20937,6.34269,4.57161
2270,6839.54,2033.59,2623.02,-2.10346,6.33964,3.75356
2280,4638.62,5362.36,4385.78,-4.92782,4.57363,2.06097
2290,1271.12,7411.38,5088.85,-6.04537,2.23218,0.314465
2300,-2364.81,8059.52,4822.81,-5.90258,-0.0302058,-1.14098
2310,-5643.93,7441.38,3794.55,-4.91141,-1.96616,-2.22103
2320,-8141.8,5783.56,2233.5,-3.33116,-3.48562,-2.91565
2330,-9554.45,3354.41,373.794,-1.31429,-4.52525,-3.21216
2340,-9653.47,468.729,-1534.24,1.02895,-4.98538,-3.06617
2350,-8282.79,-2477.57,-3200.95,3.55111,-4.68974,-2.39038
2360,-5417.85,-4954.39,-4274.06,5.93064,-3.36991,-1.07061
2370,-1335.91,-6263.67,-4349.42,7.44001,-0.776118,0.917057
2380,3090.08,-5677.35,-3117.91,6.86146,2.80959,3.15377
2390,6330.63,-2998.23,-744.325,3.54304,5.84665,4.50451
2400,7106.86,863.174,1929.42,-0.924429,6.59069,4.13212
2410,5458.07,4480.07,3976.75,-4.28003,5.21513,2.58543
2420,2330.69,6947.3,4986.98,-5.86828,2.94877,0.795924
2430,-1302.68,8009.86,4980.3,-6.04912,0.62152,-0.761905
2440,-4738.87,7750.19,4146.29,-5.27474,-1.42735,-1.95282
2450,-7503.32,6376.79,2713.25,-3.84865,-3.07904,-2.75738
2460,-9263.21,4147.21,914.532,-1.94917,-4.27082,-3.16884
2470,-9770.88,1360.18,-1005.93,0.307576,-4.91897,-3.15479
2480,-8847.05,-1617.55,-2772.9,2.79571,-4.874,-2.64185
2490,-6417.35,-4302.07,-4055,5.26612,-3.89346,-1.51997
2500,-2642.71,-6044.27,-4458.86,7.14135,-1.69329,0.283938
2510,1813.94,-6088.93,-3620.03,7.31937,1.69255,2.53234
2520,5579.56,-3995.61,-1518.81,4.76792,5.12319,4.27684
2530,7152.42,-336.048,1177.54,0.369535,6.64283,4.41013
2540,6147.43,3487.62,3477.14,-3.46815,5.78177,3.096
2550,3348.03,6353.55,4799.69,-5.56703,3.66496,1.30124
2560,-221.542,7840.24,5069.96,-6.11342,1.30099,-0.350697
2570,-3774.13,7958.91,4449.5,-5.58236,-0.851688,-1.65286
2580,-6776.63,6893.45,3163.27,-4.32527,-2.63093,-2.56795
2590,-8862.09,4890.21,1444.76,-2.55218,-3.96797,-3.09208
2600,-9761.89,2234.39,-466.342,-0.391359,-4.7911,-3.2035
2610,-9276.49,-731.75,-2306.56,2.043,-4.97475,-2.84268
2620,-7293.01,-3565.41,-3763.94,4.55528,-4.30549,-1.9089
2630,-3881.18,-5669.62,-4462.17,6.69456,-2.49512,-0.303384
2640,480.368,-6299.33,-4009.63,7.51751,0.588185,1.87266
2650,4624.77,-4845.07,-2240.14,5.81202,4.21134,3.89938
2660,6959.86,-1525.25,387.463,1.72692,6.46594,4.55933
2670,6677.04,2401.45,2890.88,-2.49098,6.23869,3.5719
2680,4299.69,5631.41,4523.14,-5.1272,4.36468,1.82395
2690,863.039,7546.01,5086.17,-6.08446,2.00285,0.0920152
2700,-2760.12,8060.98,4698.67,-5.82789,-0.240909,-1.32062
2710,-5969.27,7326.19,3578.28,-4.75755,-2.14263,-2.34727
2720,-8356.97,5574.95,1958.92,-3.12101,-3.61921,-2.98288
2730,-9630.9,3080.78,77.9534,-1.06468,-4.60651,-3.21472
2740,-9572.5,165.522,-1810.36,1.30069,-4.99963,-2.99648
2750,-8038.55,-2763.76,-3411.32,3.81736,-4.61422,-2.23962
2760,-5028.27,-5161.17,-4368.46,6.13608,-3.1762,-0.835764
2770,-866.04,-6315.29,-4283.19,7.48076,-0.456325,1.20802
2780,3503.98,-5517.44,-2884,6.62193,3.16794,3.39726
2790,6523.7,-2661.41,-416.162,3.07931,6.04572,4.55782
2800,7017.93,1244.75,2226.02,-1.35902,6.54688,3.98746
2810,5159.66,4785.56,4154.88,-4.5353,5.02659,2.35421
2820,1933.38,7123.66,5023.46,-5.94971,2.71945,0.564593
2830,-1708.5,8050.2,4888.16,-6.00369,0.402638,-0.955618
2840,-5089.43,7667.83,3952.93,-5.14133,-1.61539,-2.09502
2850,-7754.16,6193.36,2451.61,-3.65321,-3.22657,-2.84188
